Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
UMF       224 ZINACATEPEC,Avenida,Av. 16 de Septiembre ,336,,,Col. Barrio de San Miguel ,51350,Zinacantepec, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4748714,-97.6857025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      97 NAUCALPAN,Avenida,Av. 16 de Septiembre ,39,,,Col. San Bartolo ,53000,Naucalpan, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4729048,-99.2294537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      30 SAN PEDRO TAPANATEPEC,Avenida,Av. 16 de Septiembre ,47,,,Barrio Las Flores,70180,San Pedro Tapanatepec, Oaxaca,Oaxaca,,,16.3693859,-94.1944784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    44  VILLAHERMOSA,Avenida,Av. 16 septiembre,S/N,,,Col. Primero de Mayo ,86190, Tabasco,Tabasco,Tabasco,,,17.9722901,-92.9312869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      18 NUEVO NECAXA,Avenida,Av. 1o. de Mayo,238,,,,73201,Juan Galindo, Puebla,Puebla,,,-38.7008027,-62.2831161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF  13 ACAMBARO,Avenida,Av. 1o. de Mayo ,107,,,Col. Centro ,38600,Acambaro, Guanajuato,Guanajuato,,,20.0346273,-100.7236698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    69 TEXCOCO,Avenida,Av. 2 de Marzo ,"406,",,,Col. Centro Texcoco,,,, Edo. México Oriente,,,19.5531821,-98.8933867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   12 AGUAPRIETA,Avenida,Av. 3 Calle 13 ,S/N,,,Col. Centro ,84200,Agua Prieta, Sonora,Sonora,,,31.3136178,-109.5411798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      11 PLAYA CARMEN,Avenida,Av. 30 Norte,S/N,,,Col. Centro ,77710,Solidaridad, Quintana Roo,Quintana Roo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      13 QUERETARO,Avenida,Av. 5 de Febrero,S/N,,,Col. Centro ,76000,Querétaro, Querétaro,Querétaro,,,20.6119486,-100.4334196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      84 CHIMALHUACAN,Avenida,Av. 5 de mayo ,"4,",,,Col. Santa María Nativitas,,,, Edo. México Oriente,,,19.4113629,-98.9353367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       9 TLALTIZAPAN,Avenida,Av. 5 de Mayo ,S/N,,,Col. Centro,,,,Morelos,,,18.8114692,-98.9383833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      58 HUATUSCO,Avenida,Av. 5 Oriente ,1305,,,Col.  ,94100,Huatusco de Chicuellar Sur, Veracruz Sur, Veracruz Sur,,,19.1476682,-96.9577833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      64 CORDOBA,Avenida,Av. 5 y Calle 10 ,319,,,Col. San José ,94500,Córdoba Sur, Veracruz Sur, Veracruz Sur,,,18.8838909,-96.9237751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
