Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
UMFH     11 VILLA JUAREZ,Carretera,Carretera la 20 ,S/N,,,Col. Perfecto Arredondo ,80379,Villa Juárez , Sinaloa,Sinaloa,,,43.1364942,0.9744754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  5  INGENIO STA.ROSALIA,Carretera,Carretera La Chontalpa,S/N,,,Ingenio Santa Rosalía,86470,Ingenio Santa Rosalía ,Tabasco,Tabasco,,,18.001342,-93.371284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 29  DIAMANTE,Carretera,Carretera la Poza Lote 1,S/N,,,"Col. Llano Largo Joyas del Márquez, ",39905,,,Guerrero,,,16.863794,-99.881614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    34 ANTIGUO MORELOS,Carretera,Carretera Mante Valles,km. 534,,,Col.  ,89960,Morelos, Tamaulipas,Tamaulipas,,,26.0509356,-98.3032125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      29 E. MANUEL,Carretera,Carretera Manuel Aldama ,km. 1,,,Col. Zona Centro ,89630,Estación Manuel, Tamaulipas,Tamaulipas,,,22.398585,-97.9343387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      37 TAMAZUNCHALE,Carretera,Carretera México - Laredo ,S/N,,,Col.  ,79960,Tamazunchale, San Luis Potosí,San Luis Potosí,,,21.2556251,-98.7832305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      26 LOMA ALTA,Carretera,Carretera México Laredo ,km. 821,,,Col. Zona Centro ,89790,Loma Alta, Tamaulipas,Tamaulipas,,,23.0303212,-99.1479371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    47 AMATITLAN,Carretera,Carretera Nacional,S/N,,,Col.  ,95459,Amatitlán Sur, Veracruz Sur, Veracruz Sur,,,7.2897658,-70.385778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       8 EL CERCADO,Carretera,Carretera Nacional ,S/N,,,Col.  ,67320,Santiago, Nuevo León,Nuevo León,,,25.4312901,-100.1519793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 12 S.MARCOS,Carretera,Carretera Nacional Acapulco-Pinotepa,S/N,,,,39960,San Marcos, Guerrero,Guerrero,,,16.7949714,-99.3883874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      21 CEMPOALA,Carretera,Carretera Nacional Cardel - Nautla,S/N,,,,91660,Cempoala Norte, Veracruz Norte, Veracruz Norte,,,19.439881,-96.4012123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   4 IGUALA,Carretera,Carretera Nacional México - Acapulco Km. 196,S/N,,,Col. Centro ,40000,Iguala, Guerrero,Guerrero,,,18.3448477,-99.5397344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       2  LIMON,Carretera,Carretera Nacional México - Laredo ,573,,,Col.  ,89910,El Limón, Tamaulipas,Tamaulipas,,,22.522283,-98.791351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9   PALIZADA,Carretera,Carretera Palizada- Campeche,Km. 1,,,,24200,Palizada, Campeche,Campeche,,,19.8404551,-90.489105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  50 GUANAJUATO,Carretera,Carretera Panorámica Dolores Hidalgo,S/N,,,Col. Mineral de Cata ,36040,Guanajuato, Guanajuato,Guanajuato,,,21.0236201,-101.27151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF 7 PANUCO,Carretera,Carretera Pánuco Tuxpan,km. 2,,,Col. Zona Centro ,92000,Pánuco,Tamaulipas,Tamaulipas,,,22.0493878,-98.186744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  21   PARAISO,Carretera,Carretera Paraíso-Comalcalco ,S/N,,,,86600,Paraíso , Tabasco,Tabasco,,,18.4006144,-93.2127162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  43  PICHUCALCO,Carretera,Carretera Pichucalco- Teapa,Km. 1,,,Col. Centro ,29520,Pichucalco, Chiapas,Chiapas,,,17.5081744,-93.1186601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 87  INFONAVIT,Carretera,Carretera Presa Amistad,S/N,,,Col. Infonavit ,,Ciudad Acuña, Coahuila,Coahuila,,,29.3405109,-100.9925966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   40 C. REFORMA,Carretera,Carretera Reforma,S/N,,,Col. Centro ,29500,Reforma, Chiapas,Chiapas,,,17.8476814,-93.1618452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     14 SALAVERNA,Carretera,Carretera Salaverna - Mazapil ,S/N,,,Col.  ,,Mazapil, Zacatecas, Zacatecas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      40 VENADO,Carretera,Carretera San Luis-Charcas ,S/N,,,Col.  ,78520,Venado, San Luis Potosí,San Luis Potosí,,,23.821569,-100.7234996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      22 GUADALCAZAR,Carretera,Carretera San Luis-Guadalcázar ,S/N,,,Col.  ,78870,Guadalcázar, San Luis Potosí,San Luis Potosí,,,22.6192146,-100.3997258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   40 RICARDO FLORES,Carretera,Carretera Sueco- Casas Grandes,S/N,,,,,,,Chihuahua,,,19.3674872,-99.2713292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      8  E. CUAUHTEMOC,Carretera,Carretera Tampico Mante,km. 52.5,,,Col. Zona Centro ,89610,Cuauhtemoc, Tamaulipas,Tamaulipas,,,22.3009597,-97.8793365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   4 EL NARANJO,Carretera,Carretera Tampico-Barra de Navidad Km. 109,S/N,,,Col.  ,79310,El Naranjo, San Luis Potosí,San Luis Potosí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  34 A.MTZ.ADAME,Carretera,Carretera Tlahualilo- Gregorio García,S/N,,,,35112,Gómez Palacio, Durango,Durango,,,25.56815,-103.491798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  27 TLAXCOAPAN,Carretera,Carretera Tlaxcoapan - Doxey ,S/N,,,Col. Educación ,42950,Tlaxcoapan, Hidalgo,Hidalgo,,,20.0919675,-99.2222437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     237 MALINALCO,Carretera,Carretera Toluca - Temascaltepc  ,S/N,,,Col. Barrio de Santiago ,51300,Temascaltepec, Edo. de Méx. Poniente, Edo. México Poniente,,,19.0443547,-100.0449191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   2 SALINA CRUZ,Carretera,Carretera Transísmica,S/N,,,Col. Hidalgo Oriente,70610,Salina Cruz, Oaxaca,Oaxaca,,,16.2132618,-95.2059128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     37 TRANSISTMICA,Carretera,Carretera Transísmica ,1147,,,Col. Lázaro Cárdenas,,,, Veracruz Sur,,,18.1354128,-94.4316517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  13 SAN QUINTIN,Carretera,Carretera Transpeninsular,Km 192,,,Ejido Nuevo Mexicali,22940,San Quintín, Baja California Norte,Baja California,,,31.8139523,-116.6019076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     75 PUEBLO VIEJO,Carretera,Carretera Tuxpan ,S/N,,,Col.  ,93610,Pueblo Viejo Veracruz, Tamaulipas,Tamaulipas,,,20.0777476,-97.0617146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      53 SALADERO,Carretera,Carretera Tuxpan - Tampico ,S/N,,,,92495,Saladero Norte, Veracruz Norte, Veracruz Norte,,,21.3393085,-97.8123291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    64 TUXTEPEC,Carretera,Carretera Tuxtepec Valle Nacional,S/N,,,San Juan Bautista,,Tuxtepec,Oaxaca,Oaxaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  21  CHICOASEN,Carretera,Carretera Tuxtla- Chicoasen,Km. 33,,,Col. Centro ,20640,Chicoasén, Chiapas,Chiapas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      44 VALPARAISO,Carretera,Carretera Valparaíso - Atotonilco,S/N,,,Col.  ,99200,Valparaíso, Zacatecas, Zacatecas,,,22.7716029,-103.5706316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      25 COTAXTLA,Carretera,Carretera Veracruz - Córdoba ,km. 46,,,Col.  ,94000,La Capilla Norte, Veracruz Norte, Veracruz Norte,,,19.3323837,-96.7617569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      11 PERALVILLO,Calle,Caruso esquina León Cávalo  ,S/N,,,Col. Vallejo ,7870,Gustavo A. Madero , D.F. ,D.F.,,,19.4673105,-99.1331631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    50 COSALA,Calle,Casa Escuela,S/N,,,"Col Luis Donaldo Colosio, ",80700,Cósala , Sinaloa,Sinaloa,,,24.4136366,-106.6915369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      36 OJOCALIENTE,Calle,Castorena,S/N,,,Col.  ,98700,Ojocaliente, Zacatecas, Zacatecas,,,22.5706028,-102.2546666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      43 ESCOBEDO,Calle,Celestino Gasca ,S/N,,,Col. Celestino Garza ,66050,Escobedo, Nuevo León,Nuevo León,,,25.7866204,-100.3325281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   17 ANAHUAC,Calle,Celulosa de Chihuahua,S/N,,,,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     73 POZA RICA,Calle,Central Poniente ,"601,",,,Col. Laredo ,93260,,, Veracruz Norte,,,20.5156214,-97.4363438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   1 CD. VICTORIA,Calle,Centro Medico Educación y Cultura Adolfo López Mateo ,S/N,,,Col. Sosa ,87120,Ciudad Victoria, Tamaulipas,Tamaulipas,,,23.7364354,-99.1241711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   91 EL FRESNO,Calle,Cerezo ,1476,,,Col. Del Fresno ,44999,Guadalajara, Jalisco,Jalisco,,,20.6576125,-103.3755018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      42 MOCTEZUMA,Calle,Cerrada de la República ,S/N,,,Col.  ,78900,Moctezuma, San Luis Potosí,San Luis Potosí,,,22.1942033,-100.9889801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF  2 EL SALTO,Calle,Cerro del Fortín,S/N,,,,34950,Pueblo Nuevo, Durango,Durango,,,25.2934687,-103.9984108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     53 MARTE R. GOMEZ,Calle,Chapingo,S/N,,,Col.  ,85204,Cajeme, Sonora,Sonora,,,28.5999999,-111.5166671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  26 CONDESA,Calle,Chilpancingo,56,,,Col. Condesa ,6100,México , D.F. ,D.F.,,,19.4081323,-99.1698426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       7 SAN BARTOLO,Circuito,Circ. San Bartolo Pte. B,S/N,,,Col. San Bartolo ,,Puebla,Puebla,Puebla,,,18.9595935,-98.2675019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      48 LA HINCADA,Circuito,Circuito Miguel A. Zamudio,S/N,,,Col.  ,79236,Ciudad Valles, San Luis Potosí,San Luis Potosí,,,21.9963588,-99.0073673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  16 ACTOPAN,Circuito,Circuito solidaridad,115- A,,,Efrén Rebolledo,42500,,,Hidalgo,,,20.264418,-98.945776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  48 GUADALAJARA,Circunvalación,Circunvalación Oblatos ,2208,,,Col. Felipe Ángeles ,44720,Guadalajara, Jalisco,Jalisco,,,20.689613,-103.3019751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      59 TANTOYUCA,Calle,Ciruelo,S/N,,,Col. La Mora ,92100,Tantoyuca Norte, Veracruz Norte, Veracruz Norte,,,21.3549958,-98.2249725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   4 NAVOLATO,Calzada,Clzd. Almada,S/N,,,Col. Centro ,80370,Navolato , Sinaloa,Sinaloa,,,24.7655556,-107.7019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 66  TORREON,Calzada,Clzd. Ávila Camacho ,3020,,,Col. Las Carolinas ,27040,Torreón, Coahuila,Coahuila,,,25.5584648,-103.4197958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     7 CALZ. TLALPAN,Calzada,Clzd. de Tlalpan ,4220,,,Col. San Lorenzo Huipulco ,14370,Tlapán , D.F. ,D.F.,,,19.2793141,-99.1673279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  46 SORIANO,Calzada,Clzd. de Tlalpan ,2655,,,Col. Xotepingo ,4610,Coyoacán , D.F. ,D.F.,,,19.3241257,-99.1384295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H PSIQUIATRICO MF10 POSTAL,Calzada,Clzd. de Tlalpan ,931,,,Col. Niños Héroes ,3440,Benito Juárez , D.F. ,D.F.,,,19.3672362,-99.1421914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      63 TIERRA BLANCA,Calzada,Clzd. del FF.CC.  ,S/N,,,Col.  ,95100,Tierra Blanca Sur, Veracruz Sur, Veracruz Sur,,,18.447241,-96.356377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  15 ERMITA IZTAPALAPA,Calzada,Clzd. Ermita Iztapalapa ,411,,,Col. Prado Churubusco ,4230,Coyoacán , D.F. ,D.F.,,,19.3555639,-99.1000618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  31   IXTAPALAPA,Calzada,Clzd. Ermita Iztapalapa ,1771,,,Col. El Manto ,9830,Iztapalapa , D.F. ,D.F.,,,19.3558124,-99.1029181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  43 ROJO GOMEZ,Calzada,Clzd. Ermita Iztapalapa ,1515,,,Col. El Manto ,9830,Iztapalapa , D.F. ,D.F.,,,19.3558124,-99.1029181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       9 DEL TINTERO,Calzada,Clzd. Guadalupe Victoria,S/N,,,Col. Ex-Hacienda el Tintero ,76138,Querétaro, Querétaro,Querétaro,,,20.5887932,-100.3898881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 26  AGUJITA,Calzada,Clzd. Hospitales,S/N,,,Col. Zona Centro ,26950,San Juan de Sabinas, Coahuila,Coahuila,,,27.9251709,-101.2982031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      66 PROGRESO,Calzada,Clzd. Huixquilucan ,1,,,Col. Río Hondo ,53800,Naucalpan de Juárez, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4271951,-99.2568927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  28 MEXICALI,Calzada,Clzd. Independencia,S/N,,,Col. Calafia ,21040,Mexicali, Baja California Norte,Baja California,,,32.6390112,-115.4265777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      17 LEGARIA,Calzada,Clzd. Legaría ,354,,,Col. Pénsil ,11430,Miguel Hidalgo , D.F. ,D.F.,,,19.451266,-99.2015079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      38 FF.CC.,Calzada,Clzd. Madero ,509,,,Col. Centro ,68000,Oaxaca de Juárez, Oaxaca,Oaxaca,,,17.0472756,-96.7268869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      23 U.MORELOS,Calzada,Clzd. San Juan de Aragón ,311,,,Col. San Pedro El Chico ,7480,Gustavo A. Madero , D.F. ,D.F.,,,19.481602,-99.1047199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      20 VALLEJO,Calzada,Clzd. Vallejo ,675,,,Col. Vallejo ,7760,Gustavo A. Madero , D.F. ,D.F.,,,19.4869532,-99.1508788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      20 JUPARE,Calzada,Clzd. Zapata ,S/N,,,Col.  ,85240,Huatabampo, Sonora,Sonora,,,26.8271492,-109.6418609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  63 CD. JUAREZ,Calle,Coatepec,4829,,,Col. Díaz Ordaz (Centro Comunitario),,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   4 TECOMAN,Calle,Colegio Militar,1,,,Col. Centro,28100,Tecomán, Colima,Colima,,,18.9137156,-103.8770762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  49 DURANGO,Calle,Colón,105,,,Col. Tierra Blanca ,34139,Durango, Durango,Durango,,,24.0277202,-104.6531759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  155 TIZAPAN ALTO,Calle,Colon ,94,,,,,Tizapan el Alto,,Jalisco,,,20.1598655,-103.0425972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  9 CD. GUZMAN,Calle,Colón ,699,,,Col. Díaz Ordaz,49000,Ciudad Guzmán, Jalisco,Jalisco,,,19.7227089,-103.4595679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     34 JUAN DIAZ,Calle,Colonia Obrera,S/N,,,Col. Obrera,95850,Hueyapan de Ocampo Sur, Veracruz Sur, Veracruz Sur,,,18.1620192,-95.191026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      49 TETELA DE  OCAMPO,Calle,Com. Rio Papaloteno,S/N,,,"Col. Barrio Zoyatitla,  ",73640,Tetela de Ocampo, Puebla,Puebla,,,19.8159749,-97.8062004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      27 LA MIRA,Calle,Concepción,S/N,,,Col. Campamento Minero ,60980,La Mira ,Michoacán,Michoacán,,,19.6828347,-101.9571064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   5 E. NUEVO LEON,Calle,Confluencia de Carreteras Inter-estatales a Ej. Puebla,S/N,,,Ejido Puebla,21705,Mexicali, Baja California Norte,Baja California,,,32.6398775,-115.4903752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     22 SAN JUAN ABAJO,Calle,Constitución ,S/N,,,Col.  ,63730,Bahía de Bandera, Nayarit,Nayarit,,,20.7664432,-105.2303552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       6 AHOME,Calle,Constitución ,S/N,,,Col. Centro ,81300,Ahome , Sinaloa,Sinaloa,,,25.91194,-109.1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  26   JALPA MENDEZ,Calle,Constitución ,84,,,Col. Centro ,86200,Jalpa de Méndez , Tabasco,Tabasco,,,18.1763552,-93.057293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      46 CULIACAN,Calle,Constituyentes. Antonio Ancona ,S/N,,,Col. Cañadas ,80178,Culiacán , Sinaloa,Sinaloa,,,24.8048499,-107.385498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   21 LEON,Calle,Coral ,101,,,Col. San Rafael ,37380,León, Guanajuato,Guanajuato,,,21.1097998,-101.6901374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   9 APATZINGAN,Calle,Corregidora,S/N,,,,,Apatzingán,Michoacán,Michoacán,,,31.7435658,-106.4579184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      19 HUAUCHINANGO,Calle,Corregidora ,2,,,Col. Centro ,73160,Huauchinango, Puebla,Puebla,,,20.1760769,-98.0584655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      27 OCOTLAN,Calle,Corregidora Esquina Guillermo Prieto,S/N,,,Centro,71510,Ocotlán de Morelos, Oaxaca,Oaxaca,,,16.7773344,-96.6631438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  12 MEOQUI,Calle,Corregidora Ocampo,S/N,,,Col Centro,,,,Chihuahua,,,19.2422346,-103.7263359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       7 SOMBRERETE,Calle,Cristóbal Colón,S/N,,,Col. Las Palmas,99100,Sombrerete, Zacatecas, Zacatecas,,,23.6333333,-103.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    183 REY NETZA,Circuito,Cto. Rey Neza,S/N,,,Col. Benito Juárez,,,, Edo. México Oriente,,,19.4011433,-98.9865721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  22 ATOTONILCO,,Ctra. Núñez ,S/N,,,Col. Centro ,47750,Atotonilco el Alto, Jalisco,Jalisco,,,20.5482332,-102.513312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9 VILLA FRONTERA,Calle,Cuauhtémoc,S/N,,,Col. Centro,25600,Frontera, Coahuila,Coahuila,,,26.9174976,-101.4691935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      73 AMECAMECA,Calle,Cuauhtémoc,S/N,,,Col. Centro,,,, Edo. México Oriente,,,19.4302678,-99.1373136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      27  VILLA DE AJALPAN,Calle,Cuauhtémoc,S/N,,,Carretera Tehuacán- Teotitlán,75985,Ajalpan, Puebla,Puebla,,,18.2642719,-97.152333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  49 GUADALAJARA,Calle,Cuitláhuac ,769,,,Col. Sector Reforma ,44450,Guadalajara, Jalisco,Jalisco,,,20.6640473,-103.3360333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  13 TLAHUALLILO,Calle,Dalias,S/N,,,,35290,Tlahualilo, Durango,Durango,,,36.8214329,-2.8714275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 89   SALTILLO,Calle,Damaso Rodríguez ,750,,,Col. Nuevo Centro Metropolitano,25022,"Col. Nuevo Centro Metropolitano, Saltillo Coahuila.", Saltillo Coahuila.,Coahuila,,,25.4267244,-100.9954254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   9 PENJAMO,Calle,Degollado ,S/N,,,Col. Centro ,36900,Penjamo, Guanajuato,Guanajuato,,,20.4314266,-101.7221407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       5 SANTO TORIBIO,Calle,Democracia ,S/N,,,,90780,Xicohtzinco,Tlaxcala,Tlaxcala,,,19.1666667,-98.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH    9 RUIZ CORTINEZ,Calle,Diego de Uralde ,412,,,Col. Centro ,81121,Ruiz Cortinez , Sinaloa,Sinaloa,,,25.5666987,-108.4673051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  29 EL ROSARIO,,Domicilio Conocido,S/N,,,Col. El Rosario de Arriba ,22960,Ensenada, Baja California Norte,Baja California,,,31.859577,-116.606428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  22 SAN VICENTE,,Domicilio Conocido,S/N,,,Col. San Vicente ,22900,Ensenada, Baja California Norte,Baja California,,,31.853178,-116.6008133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 28  RANCHERIAS,,Domicilio Conocido,S/N,,,Col. Zona Centro ,26355,Múzquiz, Coahuila,Coahuila,,,27.8786111,-101.5172222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 67  HIPOLITO,,Domicilio Conocido,S/N,,,Col. Centro ,25935,Ramos Arizpe, Coahuila,Coahuila,,,25.540921,-100.943102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9   MINATITLAN,,Domicilio Conocido,S/N,,,,28750,Minatitlán, Colima,Colima,,,19.385179,-104.0503153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  41  MAL PASO,,Domicilio Conocido,S/N,,,Col. Centro ,29600,Malpaso, Chiapas,Chiapas,,,17.1360414,-93.3106911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  4  E.STO. DOMINGO,,Domicilio Conocido,S/N,,,Col. Centro ,30885,Ejido Santo Domingo, Chiapas,Chiapas,,,15.0645412,-92.0811838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   7 MESA HURACAN,,Domicilio Conocido,S/N,,,,,,,Chihuahua,,,22.2383616,-97.8739934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  31  LA JUNTA,,Domicilio Conocido,S/N,,,Col Ferrocarrilera,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  28 FCO. PORTILLO,,Domicilio Conocido,S/N,,,,,,,Chihuahua,,,22.2383616,-97.8739934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  17 LA UNION,,Domicilio Conocido,S/N,,,Col. Centro ,40800,La Unión, Guerrero,Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  21 CUTZAMALA,,Domicilio Conocido,S/N,,,,40630,Cutzamala de Pinzón, Guerrero,Guerrero,,,18.4671282,-100.5796111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 27 PETACALCO,,Domicilio Conocido,S/N,,,,40811,Petacalco, Guerrero,Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9 CRUZ AZUL,,Domicilio Conocido,S/N,,,,42840,"Tula de Allende, Cruz Azul ",Hidalgo,Hidalgo,,,20.052259,-99.344429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  106 SAN MARTIN,,Domicilio Conocido,S/N,,,Col. Centro ,46350,San Martín Bolaños, Jalisco,Jalisco,,,21.8304274,-103.7794821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 249 SANTIAGO TLAXOMULCO,,Domicilio Conocido,S/N,,,Ex Rancho Los Uribe,,,, Edo. México Poniente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       25 PURUARAN,,Domicilio Conocido,S/N,,,Col. La Huerta ,61682,Puruaran,Michoacán,Michoacán,,,19.0529909,-101.4186301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   37 ANGANGEO,,Domicilio Conocido,S/N,,,Col. Independencia ,58840,Angangueo,Michoacán,Michoacán,,,19.9685057,-101.1406046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      52 NVO. URECHO,,Domicilio Conocido,S/N,,,,,Nuevo Urecho,Michoacán,Michoacán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      14 OACALCO,,Domicilio Conocido,S/N,,,Col. Obrera,,,,Morelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      21 PIMIENTILLO,,Domicilio Conocido,S/N,,,Col.  ,63640,Pimientillo, Nayarit,Nayarit,,,22.1220309,-105.2055226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
